path,file,split,dialect
/Users/farhanaakter/Downloads/archive-3/train/train_barishal_0001.wav,train_barishal_0001.wav,train,barishal
/Users/farhanaakter/Downloads/archive-3/train/train_barishal_0002.wav,train_barishal_0002.wav,train,barishal
/Users/farhanaakter/Downloads/archive-3/train/train_barishal_0003.wav,train_barishal_0003.wav,train,barishal
/Users/farhanaakter/Downloads/archive-3/train/train_barishal_0004.wav,train_barishal_0004.wav,train,barishal
/Users/farhanaakter/Downloads/archive-3/train/train_barishal_0005.wav,train_barishal_0005.wav,train,barishal
/Users/farhanaakter/Downloads/archive-3/train/train_barishal_0006.wav,train_barishal_0006.wav,train,barishal
/Users/farhanaakter/Downloads/archive-3/train/train_barishal_0007.wav,train_barishal_0007.wav,train,barishal
/Users/farhanaakter/Downloads/archive-3/train/train_barishal_0008.wav,train_barishal_0008.wav,train,barishal
/Users/farhanaakter/Downloads/archive-3/train/train_barishal_0009.wav,train_barishal_0009.wav,train,barishal
/Users/farhanaakter/Downloads/archive-3/train/train_barishal_0010.wav,train_barishal_0010.wav,train,barishal
/Users/farhanaakter/Downloads/archive-3/train/train_barishal_0011.wav,train_barishal_0011.wav,train,barishal
/Users/farhanaakter/Downloads/archive-3/train/train_barishal_0012.wav,train_barishal_0012.wav,train,barishal
/Users/farhanaakter/Downloads/archive-3/train/train_barishal_0013.wav,train_barishal_0013.wav,train,barishal
/Users/farhanaakter/Downloads/archive-3/train/train_barishal_0014.wav,train_barishal_0014.wav,train,barishal
/Users/farhanaakter/Downloads/archive-3/train/train_barishal_0015.wav,train_barishal_0015.wav,train,barishal
/Users/farhanaakter/Downloads/archive-3/train/train_barishal_0016.wav,train_barishal_0016.wav,train,barishal
/Users/farhanaakter/Downloads/archive-3/train/train_barishal_0017.wav,train_barishal_0017.wav,train,barishal
/Users/farhanaakter/Downloads/archive-3/train/train_barishal_0018.wav,train_barishal_0018.wav,train,barishal
/Users/farhanaakter/Downloads/archive-3/train/train_barishal_0019.wav,train_barishal_0019.wav,train,barishal
/Users/farhanaakter/Downloads/archive-3/train/train_barishal_0020.wav,train_barishal_0020.wav,train,barishal
/Users/farhanaakter/Downloads/archive-3/train/train_barishal_0021.wav,train_barishal_0021.wav,train,barishal
/Users/farhanaakter/Downloads/archive-3/train/train_barishal_0022.wav,train_barishal_0022.wav,train,barishal
/Users/farhanaakter/Downloads/archive-3/train/train_barishal_0023.wav,train_barishal_0023.wav,train,barishal
/Users/farhanaakter/Downloads/archive-3/train/train_barishal_0024.wav,train_barishal_0024.wav,train,barishal
/Users/farhanaakter/Downloads/archive-3/train/train_barishal_0025.wav,train_barishal_0025.wav,train,barishal
/Users/farhanaakter/Downloads/archive-3/train/train_barishal_0026.wav,train_barishal_0026.wav,train,barishal
/Users/farhanaakter/Downloads/archive-3/train/train_barishal_0027.wav,train_barishal_0027.wav,train,barishal
/Users/farhanaakter/Downloads/archive-3/train/train_barishal_0028.wav,train_barishal_0028.wav,train,barishal
/Users/farhanaakter/Downloads/archive-3/train/train_barishal_0029.wav,train_barishal_0029.wav,train,barishal
/Users/farhanaakter/Downloads/archive-3/train/train_barishal_0030.wav,train_barishal_0030.wav,train,barishal
/Users/farhanaakter/Downloads/archive-3/train/train_barishal_0031.wav,train_barishal_0031.wav,train,barishal
/Users/farhanaakter/Downloads/archive-3/train/train_barishal_0032.wav,train_barishal_0032.wav,train,barishal
/Users/farhanaakter/Downloads/archive-3/train/train_barishal_0033.wav,train_barishal_0033.wav,train,barishal
/Users/farhanaakter/Downloads/archive-3/train/train_barishal_0034.wav,train_barishal_0034.wav,train,barishal
/Users/farhanaakter/Downloads/archive-3/train/train_barishal_0035.wav,train_barishal_0035.wav,train,barishal
/Users/farhanaakter/Downloads/archive-3/train/train_barishal_0036.wav,train_barishal_0036.wav,train,barishal
/Users/farhanaakter/Downloads/archive-3/train/train_barishal_0037.wav,train_barishal_0037.wav,train,barishal
/Users/farhanaakter/Downloads/archive-3/train/train_barishal_0038.wav,train_barishal_0038.wav,train,barishal
/Users/farhanaakter/Downloads/archive-3/train/train_barishal_0039.wav,train_barishal_0039.wav,train,barishal
/Users/farhanaakter/Downloads/archive-3/train/train_barishal_0040.wav,train_barishal_0040.wav,train,barishal
/Users/farhanaakter/Downloads/archive-3/train/train_barishal_0041.wav,train_barishal_0041.wav,train,barishal
